name,rank,rank_num,hs_per,dpr,win_per,kd,spr,kpr,date,link
sketchywolf#1522,Immortal,15,0.28,154.3,49.6,1.1,240.7,0.8,1/24/2021,https://tracker.gg/valorant/profile/riot/sketchywolf%231522?playlist=competitive
mibpolice#5993,Immortal,15,0.27,142,50.1,1.04,223,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/mibpolice%235993?playlist=competitive
OGCBG#NA1,Immortal,15,0.31,173.4,51.5,1.15,278.4,0.9,1/22/2021,https://tracker.gg/valorant/profile/riot/OGCBG%23NA1?playlist=competitive
chloric#Caide,Immortal,15,0.23,137.3,51.2,1.13,212.2,0.7,2/14/2021,https://tracker.gg/valorant/profile/riot/chloric%23Caide?playlist=competitive
LeX#4027,Immortal,15,0.32,141.5,51,1.01,222.2,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/LeX%234027?playlist=competitive
miguelito#1337,Immortal,15,0.24,131.1,52.9,1.04,202.6,0.7,1/21/2021,https://tracker.gg/valorant/profile/riot/miguelito%231337?playlist=competitive
luu#kiss,Immortal,15,0.25,150.5,52.7,1.21,244.7,0.8,1/21/2021,https://tracker.gg/valorant/profile/riot/luu%23kiss?playlist=competitive
OP Shiba#sibal,Immortal,15,0.3,133.2,51.9,1,213,0.7,1/21/2021,https://tracker.gg/valorant/profile/riot/OP%20Shiba%23sibal?playlist=competitive
Arc#SYN,Immortal,15,0.3,137,47.9,1.01,210.3,0.7,1/24/2021,https://tracker.gg/valorant/profile/riot/Arc%23SYN?playlist=competitive
Goku#1738,Immortal,15,0.26,134.2,50,1,202.5,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/Goku%231738?playlist=competitive
Able VolcaN#GOD,Immortal,15,0.29,165.3,51.8,1.3,270.1,0.9,1/21/2021,https://tracker.gg/valorant/profile/riot/Able%20VolcaN%23GOD?playlist=competitive
aimbotcardin#7245,Immortal,15,0.26,138.5,52.6,1,214.9,0.7,1/21/2021,https://tracker.gg/valorant/profile/riot/aimbotcardin%237245?playlist=competitive
NCSU Vintage#PACK,Immortal,15,0.31,129.1,50.9,0.98,200.7,0.7,1/24/2021,https://tracker.gg/valorant/profile/riot/NCSU%20Vintage%23PACK?playlist=competitive
SG V1T0#7302,Immortal,15,0.26,126.7,52,0.96,194.9,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/SG%20V1T0%237302?playlist=competitive
camjrefill#777,Immortal,15,0.3,132.1,50,1.01,205.5,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/camjrefill%23777?playlist=competitive
DD Sher1ff#0000,Diamond 3,14,0.27,127.4,49.3,0.98,200.9,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/DD%20Sher1ff%230000?playlist=competitive
Daniel LaRusso#KOBRA,Diamond 3,14,0.3,144.4,49,1.01,222.9,0.7,1/20/2021,https://tracker.gg/valorant/profile/riot/Daniel%20LaRusso%23KOBRA?playlist=competitive
DisTeez#4747,Diamond 3,14,0.22,142.3,50.1,0.98,219.7,0.7,1/26/2021,https://tracker.gg/valorant/profile/riot/DisTeez%234747?playlist=competitive
Phantonex#7928,Diamond 3,14,0.28,128,49.8,1,202.8,0.7,2/14/2021,https://tracker.gg/valorant/profile/riot/Phantonex%237928?playlist=competitive
Ellet#0001,Diamond 3,14,0.25,129.8,51.6,1,196.1,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/Ellet%230001?playlist=competitive
Riptis Mom#Mommy,Diamond 3,14,0.23,146.7,50.6,1.11,231.7,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/Riptis%20Mom%23Mommy?playlist=competitive
joyful#4444,Diamond 2,13,0.26,122,52.2,0.86,183.4,0.6,1/22/2021,https://tracker.gg/valorant/profile/riot/joyful%234444?playlist=competitive
Russell#1234,Diamond 1,12,0.28,149.3,53.5,1.21,235.3,0.8,1/20/2021,https://tracker.gg/valorant/profile/riot/Russell%231234?playlist=competitive
hehayea#BREAD,Diamond 1,12,0.23,150,52.2,1.15,237.1,0.8,1/26/2021,https://tracker.gg/valorant/profile/riot/hehayea%23BREAD?playlist=competitive
Talkingrock#0001,Diamond 1,12,0.27,137.9,51.1,1.05,209.1,0.7,2/6/2021,https://tracker.gg/valorant/profile/riot/Talkingrock%230001?playlist=competitive
Resi#NA2,Diamond 1,12,0.27,145,46.9,1,225.3,0.8,3/16/2021,https://tracker.gg/valorant/profile/riot/Resi%23NA2?playlist=competitive
Too noobyyy ツ#ITZY,Diamond 1,12,0.2,139.4,49.8,1.07,212.7,0.7,2/14/2021,https://tracker.gg/valorant/profile/riot/Too%20noobyyy%20%E3%83%84%23ITZY?playlist=competitive
cL0mb0#SOLOQ,Diamond 1,12,0.23,148.5,49.9,1.12,229,0.8,1/22/2021,https://tracker.gg/valorant/profile/riot/cL0mb0%23SOLOQ?playlist=competitive
Mxrvinツ#8612,Diamond 1,12,0.24,149.3,48.5,1.06,236.3,0.8,2/14/2021,https://tracker.gg/valorant/profile/riot/Mxrvin%E3%83%84%238612?playlist=competitive
Mingy#725,Platinum 3,11,0.28,131.4,50.1,0.94,204.7,0.7,1/21/2021,https://tracker.gg/valorant/profile/riot/Mingy%23725?playlist=competitive
gabe#sad,Platinum 3,11,0.25,133.7,48.1,0.94,205.6,0.7,1/20/2021,https://tracker.gg/valorant/profile/riot/gabe%23sad?playlist=competitive
TK Exist#GGs,Platinum 3,11,0.23,139.1,50.8,1.07,214.4,0.8,1/21/2021,https://tracker.gg/valorant/profile/riot/TK%20Exist%23GGs?playlist=competitive
Trace#001,Platinum 3,11,0.27,134.5,49.7,1.02,207.5,0.7,1/20/2021,https://tracker.gg/valorant/profile/riot/Trace%23001?playlist=competitive
WacWac#4857,Platinum 2,10,0.22,145.3,48.4,1.01,230.7,0.8,2/14/2021,https://tracker.gg/valorant/profile/riot/WacWac%234857?playlist=competitive
snny#8557,Platinum 2,10,0.23,116.3,52.9,0.86,180.4,0.6,1/21/2021,https://tracker.gg/valorant/profile/riot/snny%238557?playlist=competitive
Gwoodz#NA1,Platinum 2,10,0.25,161.3,40,1.25,260.1,0.9,3/16/2021,https://tracker.gg/valorant/profile/riot/Gwoodz%23NA1?playlist=competitive
SoloKiro#1337,Platinum 2,10,0.24,137.1,48.9,0.93,207.8,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/SoloKiro%231337?playlist=competitive
SECT Zeek#SECT,Platinum 1,9,0.19,148.5,50.4,1.14,223.2,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/SECT%20Zeek%23SECT?playlist=competitive
Basem3ntTroll#7146,Platinum 1,9,0.18,139.7,48.2,1.05,217.9,0.8,2/6/2021,https://tracker.gg/valorant/profile/riot/Basem3ntTroll%237146?playlist=competitive
ImVeryMediocre#NA1,Platinum 1,9,0.23,137.5,49.2,1.01,211.7,0.7,1/17/2021,https://tracker.gg/valorant/profile/riot/ImVeryMediocre%23NA1?playlist=competitive
nick#nova,Platinum 1,9,0.22,140.1,52.4,1.04,213.7,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/nick%23nova?playlist=competitive
Equezarix#NA1,Platinum 1,9,0.22,126.1,49,0.94,193.8,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/Equezarix%23NA1?playlist=competitive
SwaggyT#1476,Platinum 1,9,0.21,146.4,49.6,1.11,232,0.8,3/16/2021,https://tracker.gg/valorant/profile/riot/SwaggyT%231476?playlist=competitive
PopSharky#9666,Platinum 1,9,0.2,158.8,49.8,1.2,247.9,0.8,1/24/2021,https://tracker.gg/valorant/profile/riot/PopSharky%239666?playlist=competitive
lester420fool#NA1,Platinum 1,9,0.23,159.5,49.6,1.23,256,0.9,1/18/2021,https://tracker.gg/valorant/profile/riot/lester420fool%23NA1?playlist=competitive
Pimp#2031,Gold 3,8,0.17,143.5,49.7,1.05,229.6,0.8,1/26/2021,https://tracker.gg/valorant/profile/riot/Pimp%232031?playlist=competitive
JimmiWoo#3574,Gold 3,8,0.16,147,50.5,1.1,224.4,0.8,2/14/2021,https://tracker.gg/valorant/profile/riot/JimmiWoo%233574?playlist=competitive
Aethezr#4170,Gold 3,8,0.23,139.5,52.4,1,216.6,0.7,2/6/2021,https://tracker.gg/valorant/profile/riot/Aethezr%234170?playlist=competitive
Sppoptropica#2769,Gold 3,8,0.17,127.6,48.7,0.95,197.3,0.7,2/6/2021,https://tracker.gg/valorant/profile/riot/Sppoptropica%232769?playlist=competitive
pbear#NA1,Gold 3,8,0.2,123.8,50,0.93,186.6,0.6,1/18/2021,https://tracker.gg/valorant/profile/riot/pbear%23NA1?playlist=competitive
RICE Le28blue2#NA1,Gold 3,8,0.17,141.4,52,1.12,222.9,0.8,3/16/2021,https://tracker.gg/valorant/profile/riot/RICE%20Le28blue2%23NA1?playlist=competitive
IAteMySock#4846,Gold 3,8,0.21,140,52,1.12,210.2,0.7,2/6/2021,https://tracker.gg/valorant/profile/riot/IAteMySock%234846?playlist=competitive
alex#m2000,Gold 3,8,0.2,124.3,47.8,0.92,194.7,0.7,2/14/2021,https://tracker.gg/valorant/profile/riot/alex%23m2000?playlist=competitive
ne0#9899,Gold 2,7,0.18,124.9,52,0.9,188.4,0.6,1/26/2021,https://tracker.gg/valorant/profile/riot/ne0%239899?playlist=competitive
SumoSusho#NA1,Gold 2,7,0.18,130.5,47.5,0.67,145.6,0.5,1/20/2021,https://tracker.gg/valorant/profile/riot/SumoSusho%23NA1?playlist=competitive
Crypticset10#1323,Gold 2,7,0.23,140.2,51.3,1.06,218,0.8,1/17/2021,https://tracker.gg/valorant/profile/riot/Crypticset10%231323?playlist=competitive
ZachAFK#9011,Gold 2,7,0.22,142.6,50.4,1.07,223.1,0.8,1/21/2021,https://tracker.gg/valorant/profile/riot/ZachAFK%239011?playlist=competitive
mikey#cool,Gold 1,6,0.24,168.4,48.6,1.16,272.1,0.9,2/6/2021,https://tracker.gg/valorant/profile/riot/mikey%23cool?playlist=competitive
Hyper#003,Gold 1,6,0.24,109.6,48.6,0.84,171.3,0.6,1/17/2021,https://tracker.gg/valorant/profile/riot/Hyper%23003?playlist=competitive
Itscoconxt#NA1,Gold 1,6,0.18,142.2,50.9,1.16,227.3,0.8,1/20/2021,https://tracker.gg/valorant/profile/riot/Itscoconxt%23NA1?playlist=competitive
konn#6ft5,Silver 3,5,0.2,146.5,51.1,1.04,226.5,0.8,2/6/2021,https://tracker.gg/valorant/profile/riot/konn%236ft5?playlist=competitive
Colin#101,Silver 3,5,0.22,145.4,48.3,1.1,212.3,0.7,2/6/2021,https://tracker.gg/valorant/profile/riot/Colin%23101?playlist=competitive
BouncyPlays#3649,Silver 3,5,0.19,129.2,47.9,0.92,197.7,0.7,2/14/2021,https://tracker.gg/valorant/profile/riot/BouncyPlays%233649?playlist=competitive
coast#EAST,Silver 3,5,0.19,136.2,49,1.09,207.1,0.7,2/6/2021,https://tracker.gg/valorant/profile/riot/coast%23EAST?playlist=competitive
jade#1010,Silver 3,5,0.21,129,51.9,0.95,196.6,0.7,2/6/2021,https://tracker.gg/valorant/profile/riot/jade%231010?playlist=competitive
FegaYT#4385,Silver 3,5,0.17,143,48.2,1,223.4,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/FegaYT%234385?playlist=competitive
xHolyV3nomx#3839,Silver 3,5,0.18,138.9,49,0.99,219.3,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/xHolyV3nomx%233839?playlist=competitive
zero#DEG5,Silver 3,5,0.23,134.2,49.4,1.05,208.6,0.7,1/24/2021,https://tracker.gg/valorant/profile/riot/zero%23DEG5?playlist=competitive
ZacKHD#NA1,Silver 3,5,0.23,120.4,49.2,0.84,182.2,0.6,1/26/2021,https://tracker.gg/valorant/profile/riot/ZacKHD%23NA1?playlist=competitive
Divine#4464,Silver 2,4,0.2,107.6,46.1,0.76,160.7,0.5,1/26/2021,https://tracker.gg/valorant/profile/riot/Divine%234464?playlist=competitive
MiniMeek#2331,Silver 2,4,0.21,145.1,49.5,1.12,223.6,0.8,1/20/2021,https://tracker.gg/valorant/profile/riot/MiniMeek%232331?playlist=competitive
ummmok#sussy,Silver 2,4,0.19,122.5,47.5,0.82,186.2,0.6,2/14/2021,https://tracker.gg/valorant/profile/riot/ummmok%23sussy?playlist=competitive
bvc#cvb,Silver 2,4,0.19,130.1,51.4,0.95,189.6,0.6,1/18/2021,https://tracker.gg/valorant/profile/riot/bvc%23cvb?playlist=competitive
Wadfoot12#1146,Silver 2,4,0.19,144.3,50.5,1.02,226.7,0.8,1/20/2021,https://tracker.gg/valorant/profile/riot/Wadfoot12%231146?playlist=competitive
CreeperFace23#9198,Silver 2,4,0.18,137.3,47.5,0.96,212.3,0.7,1/24/2021,https://tracker.gg/valorant/profile/riot/CreeperFace23%239198?playlist=competitive
AAAAbattery1#lolz,Silver 1,3,0.17,110.2,50.5,0.81,170.8,0.6,1/17/2021,https://tracker.gg/valorant/profile/riot/AAAAbattery1%23lolz?playlist=competitive
SirLadd#NA1,Bronze 2,2,0.18,140.2,50.7,1.13,225.7,0.8,1/17/2021,https://tracker.gg/valorant/profile/riot/SirLadd%23NA1?playlist=competitive
Rice#3933,Bronze 2,2,0.17,129.8,45.6,0.87,194.8,0.7,1/26/2021,https://tracker.gg/valorant/profile/riot/Rice%233933?playlist=competitive
BriskItachi#8934,Iron 3,1,0.15,104,43.5,0.68,138.7,0.5,2/6/2021,https://tracker.gg/valorant/profile/riot/BriskItachi%238934?playlist=competitive
